1,Rogue One: A Star Wars Story,BV,529462544,4157,155081681,4157,16-Dec,
2,Finding Dory,BV,486295561,4305,135060273,4305,17-Jun,
3,Captain America: Civil War,BV,408084349,4226,179139142,4226,6-May,
4,The Secret Life of Pets,Uni.,368384330,4381,104352905,4370,8-Jul,
5,The Jungle Book (2016),BV,364001123,4144,103261464,4028,15-Apr,
6,Deadpool,Fox,363070709,3856,132434639,3558,12-Feb,
7,Zootopia,BV,341268248,3959,75063401,3827,4-Mar,
8,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,25-Mar,
9,Suicide Squad,WB,325100054,4255,133682248,4255,5-Aug,
10,Sing,Uni.,267634450,4029,35258145,4022,21-Dec,
11,Moana,BV,246039922,3875,56631401,3875,23-Nov,
12,Fantastic Beasts and Where To Find Them,WB,233331577,4144,74403387,4144,18-Nov,
13,Doctor Strange,BV,232526026,3882,85058311,3882,4-Nov,
14,Jason Bourne,Uni.,162434410,4039,59215365,4026,29-Jul,
15,Star Trek Beyond,Par.,158848340,3928,59253211,3928,22-Jul,
16,X-Men: Apocalypse,Fox,155442489,4153,65769562,4150,27-May,
17,Trolls,Fox,153425195,4066,46581142,4060,4-Nov,
18,Hidden Figures,Fox,152815804,3416,515499,25,25-Dec,
19,Kung Fu Panda 3,Fox,143528619,3987,41282042,3955,29-Jan,
20,La La Land,LG/S,140860065,3236,881104,5,9-Dec,
21,Ghostbusters (2016),Sony,128350574,3963,46018755,3963,15-Jul,
22,Central Intelligence,WB (NL),127440871,3508,35535250,3508,17-Jun,
23,The Legend of Tarzan,WB,126643061,3591,38527856,3561,1-Jul,
24,Sully,WB,125070033,3955,35028301,3525,9-Sep,
25,Bad Moms,STX,113257297,3215,23817340,3215,29-Jul,
26,The Angry Birds Movie,Sony,107509366,3932,38155177,3932,20-May,
27,Independence Day: Resurgence,Fox,103144286,4130,41039944,4130,24-Jun,
28,The Conjuring 2,WB (NL),102470008,3356,40406314,3343,10-Jun,
29,Arrival,Par.,100305463,3115,24074047,2317,11-Nov,
30,Passengers (2016),Sony,98950408,3478,14869736,3478,21-Dec,
31,Sausage Party,Sony,97685686,3135,34263534,3103,12-Aug,
32,The Magnificent Seven (2016),Sony,93432655,3696,34703397,3674,23-Sep,
33,Ride Along 2,Uni.,91221830,3192,35243095,3175,15-Jan,
34,Don't Breathe,SGem,89217875,3384,26411706,3051,26-Aug,
35,Miss Peregrine's Home for Peculiar Children,Fox,87242834,3835,28871140,3522,30-Sep,
36,The Accountant,WB,86260045,3402,24710273,3332,14-Oct,
